,OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
10507,11543,Lightning,WA,8/9/2006,8/10/2006,2006,0.1,46.00388889,-117.9075,1
10681,11717,Lightning,WA,7/11/2006,7/12/2006,2006,1.0,48.82166667,-118.40555559999999,1
11779,10815,Lightning,WA,8/9/2006,8/10/2006,2006,0.1,46.11361111,-117.29111110000001,1
11781,10817,Lightning,WA,8/10/2006,8/10/2006,2006,0.1,46.11083333,-117.3047222,0
11926,10963,Railroad,WA,8/8/2006,8/9/2006,2006,2.5,45.70138889,-121.2836111,1
12003,12040,Lightning,WA,8/22/2006,8/24/2006,2006,0.25,46.0625,-117.9861111,2
12109,12146,Lightning,WA,7/12/2006,7/16/2006,2006,0.2,48.93638889,-118.27416670000001,4
12129,12166,Lightning,WA,7/15/2006,7/15/2006,2006,1.0,48.66555556,-117.6780556,0
12220,12257,Lightning,WA,7/19/2006,7/20/2006,2006,0.2,48.81166667,-118.33,1
12232,12269,Lightning,WA,7/19/2006,7/20/2006,2006,0.1,48.57555556,-117.6925,1
12479,12516,Lightning,WA,7/20/2006,7/21/2006,2006,3.5,48.40777778,-117.50305559999998,1
12515,12552,Lightning,WA,8/14/2006,8/14/2006,2006,0.1,48.36777778,-117.5936111,0
12520,12557,Miscellaneous,WA,7/26/2006,7/26/2006,2006,0.1,48.39277778,-117.54111110000001,0
12540,12577,Lightning,WA,8/18/2006,8/18/2006,2006,0.25,48.57,-117.66,0
12542,12579,Lightning,WA,7/18/2006,7/18/2006,2006,2.0,48.93916667,-117.5588889,0
12557,12594,Lightning,WA,9/14/2006,9/17/2006,2006,0.1,48.23111111,-117.54111110000001,3
12599,12636,Lightning,WA,8/11/2006,8/11/2006,2006,0.5,48.61666667,-118.35416670000001,0
12733,12770,Smoking,WA,9/4/2006,9/4/2006,2006,0.1,45.97583333,-121.76805559999998,0
12774,12811,Lightning,WA,8/16/2006,8/17/2006,2006,1.7,46.07861111,-121.43722220000001,1
12793,12830,Lightning,WA,9/4/2006,9/5/2006,2006,0.3,45.80694444,-121.95888889999999,1
12812,12849,Campfire,WA,9/3/2006,9/3/2006,2006,0.1,46.12916667,-121.75416670000001,0
12819,12856,Campfire,WA,9/1/2006,9/1/2006,2006,0.1,45.95166667,-121.7513889,0
12822,12859,Lightning,WA,7/21/2006,7/22/2006,2006,0.5,46.04666667,-121.65333329999999,1
12853,12890,Miscellaneous,WA,8/24/2006,8/24/2006,2006,0.1,45.96333333,-121.74583329999999,0
12906,12943,Lightning,WA,8/8/2006,8/9/2006,2006,0.35,46.0875,-121.6861111,1
12911,12948,Debris Burning,WA,8/13/2006,8/13/2006,2006,0.1,45.93,-121.615,0
12924,12961,Smoking,WA,8/15/2006,8/15/2006,2006,0.2,45.96944444,-121.7011111,0
12953,12990,Smoking,WA,8/26/2006,8/27/2006,2006,0.2,45.97583333,-121.77027779999999,1
12955,12992,Smoking,WA,8/18/2006,8/18/2006,2006,0.1,45.99388889,-121.7427778,0
